Title,Year,IMDb,Rotten Tomatoes,Netflix,Hulu ,Prime Video,Disney,HBO,Apple,Genres
Physical,2021,7.3,80,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Comedy
The Morning Show,2019,8.4,80,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Mr. Corman,2021,6.4,66,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Defending Jacob,2020,7.9,89,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Foundation,2021,7.5,60,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Scifi
Losing Alice,2021,6.6,75,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Little Voice,2020,7.2,80,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Home Before Dark,2020,7.5,82,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mystery thriller
Servant,2019,7.5,76,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
The Me You Can't See,2021,5.3,68,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Health wellness
For All Mankind,2020,7.9,85,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,History
Dickinson,2019,7.4,86,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Schmigadoon!,2021,7.3,85,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Musical
Trying,2020,7.7,94,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Drama
Calls,2021,7.7,86,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Horror
Little America,2020,7.5,78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Comedy
Central Park,2020,6.8,78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Animation
Mythic Quest,2020,7.7,85,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Comedy
Visible: Out on Television,2020,7.4,100,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LGBTQ
1971: The Year that Music Changed Everything,2021,7.5,62,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Documentary
